RA	DE	NormHalpha	RVHalpha	SigmHalpha	Norm[NII]6548	RV[NII]6548	Sigm[NII]6548	Norm[NII]6584	RV[NII]6584	Sigm[NII]6584	Norm[SII]6717	RV[SII]6717	Sigm[SII]6717	Norm[SII]6731	RV[SII]6731	Sigm[SII]6731
87.165	15	412.8	-267.961826	8.668412946	29.22	-272.7338033	14.07987039	87.67	-248.5135871	13.94771839	74.45	-225.9153234	7.314459407	52.85	-252.1352714	7.228263062
85.824	15	269.8	-270.0631292	13.79852443	20.59	-277.6784484	16.76765258	61.78	-253.4319429	16.63042333	54.08	-228.5489934	19.4802633	31.46	-254.7630724	19.41071511
84.483	15	138.8	-274.4941379	19.57337018	10.18	-269.6205082	26.7980459	30.54	-245.4168446	26.62551046	35.39	-236.2268112	17.67152435	22.38	-262.4237801	17.60332759
83.142	15	105.6	-268.7840751	17.88380879	7.165	-288.5749811	23.15545011	21.49	-264.2705417	22.9975463	28.17	-225.3350232	26.81209625	16.39	-251.5562644	26.73336223
81.801	15	94.2	-276.9152045	18.54691678	8.249	-278.0447184	23.50712032	24.75	-253.7962655	23.34786805	25.53	-242.3422823	30.64775242	20.38	-268.5256229	30.56284787
80.46	15	90.51	-280.5239642	19.91902917	6.12	-263.2565669	57.98589246	18.36	-239.0867386	57.66371253	16.05	-232.6110947	25.49838832	12.62	-258.8161212	25.4216031
79.119	15	88.65	-279.4733126	25.40913486	6.818	-273.4205596	40.37058645	20.45	-249.1966921	40.13600117	23.46	-235.2894032	37.14876579	15.34	-261.4884611	37.05228102
77.778	15	433.9	-273.3521253	19.07541695	27.05	-273.6952621	17.98258665	81.14	-249.4699341	17.84215478	57.35	-227.5223085	21.41358951	37.71	-253.7386754	21.3420954
76.437	15	1645	-281.7116572	12.78345492	101.6	-282.2110397	13.84672109	304.9	-257.9404357	13.71483991	273.6	-236.1375342	11.95935779	175.9	-262.3347021	11.89008588
75.096	15	1871	-277.3720095	11.09466498	160.1	-280.0134197	11.45844883	480.3	-255.7544998	11.327053	458.8	-234.6198261	6.822425135	315.5	-260.8203762	6.732230145
73.755	15	592.6	-273.7175693	11.49071731	57.7	-279.0519609	11.17134624	173.1	-254.7981528	11.03965396	186	-231.1826635	8.10683945	129.7	-257.3908733	8.025765677
72.414	15	265.8	-274.3570964	14.91380818	26.36	-276.3507196	17.91188097	79.09	-252.1112733	17.77164764	69.14	-231.227302	12.88475456	59.87	-257.4354123	12.81649127
71.073	15	127.1	-273.6718888	15.6334954	13.86	-275.5723958	11.31539035	41.57	-251.3370877	11.18385848	34.71	-234.4412722	12.32249509	25.79	-260.6422202	12.25367423
